symbol_lower,symbol,chrom,start,stop
capns2,CAPNS2,chr16,55600584,55601599
caprin-1,caprin-1,chr11,34073230,34122703
rng105,RNG105,chr11,34073230,34122703
caprin1,CAPRIN1,chr11,34073230,34122703
eeg1,EEG1,chr12,30862486,30907885
flj22569,FLJ22569,chr12,30862486,30907885
flj11391,FLJ11391,chr12,30862486,30907885
caprin-2,caprin-2,chr12,30862486,30907885
rng140,RNG140,chr12,30862486,30907885
caprin2,CAPRIN2,chr12,30862486,30907885
caps1,CAPS1,chr19,5911718,5915888
mgc126562,MGC126562,chr19,5911718,5915888
caps,CAPS,chr19,5911718,5915888
caps2,CAPS2,chr12,75669759,75784708
mgc26610,MGC26610,chr5,35904397,35938881
capsl,CAPSL,chr5,35904397,35938881
capza1,CAPZA1,chr1,113161795,113214241
capz,CAPZ,chr7,116451124,116562103
cappa2,CAPPA2,chr7,116451124,116562103
capza2,CAPZA2,chr7,116451124,116562103
gsg3,Gsg3,chr12,18891035,18892121
cappa3,CAPPA3,chr12,18891035,18892121
capza3,CAPZA3,chr12,18891035,18892121
capzb,CAPZB,chr1,19665270,19812033
cincin1,CINCIN1,chr5,40841286,40860277
card6,CARD6,chr5,40841286,40860277
tucan,TUCAN,chr19,48684027,48759203
kiaa0955,KIAA0955,chr19,48684027,48759203
cardinal,CARDINAL,chr19,48684027,48759203
ndpp,NDPP,chr19,48684027,48759203
dakar,Dakar,chr19,48684027,48759203
card8,CARD8,chr19,48684027,48759203
card9,CARD9,chr9,139256355,139268133
carma3,CARMA3,chr22,37886400,37915549
bimp1,BIMP1,chr22,37886400,37915549
card10,CARD10,chr22,37886400,37915549
carma1,CARMA1,chr7,2945775,3083579
bimp3,BIMP3,chr7,2945775,3083579
card11,CARD11,chr7,2945775,3083579
carma2,CARMA2,chr17,78143791,78183130
bimp2,BIMP2,chr17,78143791,78183130
card14,CARD14,chr17,78143791,78183130
cop1,COP1,chr11,104912053,104972158
cop,COP,chr11,104912053,104972158
pseudo-ice,PSEUDO-ICE,chr11,104912053,104972158
card16,CARD16,chr11,104912053,104972158
inca,INCA,chr11,104963196,104972158
card17,CARD17,chr11,104963196,104972158
unq5804,UNQ5804,chr11,105008448,105402424
iceberg,ICEBERG,chr11,105008448,105402424
pseudo-ice,pseudo-ICE,chr11,105008448,105402424
card18,CARD18,chr11,105008448,105402424
mgc11115,MGC11115,chr9,95858500,95875565
ba370f5.1,bA370F5.1,chr9,95858500,95875565
bincard,BinCARD,chr9,95858500,95875565
card19,CARD19,chr9,95858500,95875565
flj21579,FLJ21579,chr2,203776937,203851786
carf,CaRF,chr2,203776937,203851786
nyd-sp24,NYD-SP24,chr2,203776937,203851786
carf,CARF,chr2,203776937,203851786
crhsp-24,CRHSP-24,chr16,8946799,8962869
csdc1,CSDC1,chr16,8946799,8962869
carhsp1,CARHSP1,chr16,8946799,8962869
prmt4,PRMT4,chr19,10982189,11033746
carm1,CARM1,chr19,10982189,11033746
dj501n12.1,dJ501N12.1,chr6,25279306,25620758
flj20048,FLJ20048,chr6,25279306,25620758
carmil,CARMIL,chr6,25279306,25620758
carmil1,CARMIL1,chr6,25279306,25620758
lrrc16c,LRRC16C,chr16,67678822,67691472
carmil2,CARMIL2,chr16,67678822,67691472
bc008134,BC008134,chr14,24521209,24538937
crml-1,crml-1,chr14,24521209,24538937
carmil3,CARMIL3,chr14,24521209,24538937
flj25795,FLJ25795,chr9,77595936,77643339
carnmt1,CARNMT1,chr9,77595936,77643339
kiaa1394,KIAA1394,chr11,67182439,67193078
carns1,CARNS1,chr11,67182439,67193078
cars1,CARS1,chr11,3022152,3078843
flj12118,FLJ12118,chr13,111293759,111365950
cars2,CARS2,chr13,111293759,111365950
cart,CART,chr5,71014990,71016875
cartpt,CARTPT,chr5,71014990,71016875
las1,LAS1,chr12,25261354,25348096
flj10921,FLJ10921,chr12,25261354,25348096
ppp1r54,PPP1R54,chr12,25261354,25348096
casc1,CASC1,chr12,25261354,25348096
mln51,MLN51,chr17,38296571,38328436
btz,BTZ,chr17,38296571,38328436
casc3,CASC3,chr17,38296571,38328436
flj21213,FLJ21213,chr7,94138531,94186331
flj21879,FLJ21879,chr7,94138531,94186331
c7orf12,C7orf12,chr7,94138531,94186331
casd1,CASD1,chr7,94138531,94186331
lin2,LIN2,chrX,41374187,41782898
cagh39,CAGH39,chrX,41374187,41782898
fgs4,FGS4,chrX,41374187,41782898
cask,CASK,chrX,41374187,41782898
kiaa1306,KIAA1306,chr16,2227181,2246526
anks5a,ANKS5A,chr16,2227181,2246526
caskin1,CASKIN1,chr16,2227181,2246526
kiaa1139,KIAA1139,chr17,73496342,73511664
flj21609,FLJ21609,chr17,73496342,73511664
anks5b,ANKS5B,chr17,73496342,73511664
caskin2,CASKIN2,chr17,73496342,73511664
ice,ICE,chr11,104896170,104905977
casp1,CASP1,chr11,104896170,104905977
ich1,ICH1,chr7,142985308,143004789
ppp1r57,PPP1R57,chr7,142985308,143004789
mgc2181,MGC2181,chr7,142985308,143004789
casp2,CASP2,chr7,142985308,143004789
cpp32,CPP32,chr4,185548850,185570663
cpp32b,CPP32B,chr4,185548850,185570663
yama,Yama,chr4,185548850,185570663
apopain,apopain,chr4,185548850,185570663
casp3,CASP3,chr4,185548850,185570663
ice(rel)ii,ICE(rel)II,chr11,104813593,104840163
ich-2,ICH-2,chr11,104813593,104840163
tx,TX,chr11,104813593,104840163
casp4,CASP4,chr11,104813593,104840163
ice(rel)iii,ICE(rel)III,chr11,104864962,104893895
casp5,CASP5,chr11,104864962,104893895
mch2,MCH2,chr4,110609778,110624739
casp6,CASP6,chr4,110609778,110624739
mch3,MCH3,chr10,115438921,115490666
cmh-1,CMH-1,chr10,115438921,115490666
ice-lap3,ICE-LAP3,chr10,115438921,115490666
casp7,CASP7,chr10,115438921,115490666
mch5,MCH5,chr2,202098166,202152434
mach,MACH,chr2,202098166,202152434
flice,FLICE,chr2,202098166,202152434
casp-8,Casp-8,chr2,202098166,202152434
casp8,CASP8,chr2,202098166,202152434
flash,FLASH,chr6,90539613,90584155
ced-4,CED-4,chr6,90539613,90584155
rip25,RIP25,chr6,90539613,90584155
flj11208,FLJ11208,chr6,90539613,90584155
kiaa1315,KIAA1315,chr6,90539613,90584155
casp8ap2,CASP8AP2,chr6,90539613,90584155
mch6,MCH6,chr1,15817327,15853029
ice-lap6,ICE-LAP6,chr1,15817327,15853029
apaf-3,APAF-3,chr1,15817327,15853029
ppp1r56,PPP1R56,chr1,15817327,15853029
casp9,CASP9,chr1,15817327,15853029
mch4,MCH4,chr2,202047604,202094129
casp10,CASP10,chr2,202047604,202094129
casp12,CASP12,chr11,104756445,104769397
mice,MICE,chr19,15160195,15169104
mgc119078,MGC119078,chr19,15160195,15169104
mgc119079,MGC119079,chr19,15160195,15169104
casp14,CASP14,chr19,15160195,15169104
pdib1,PDIB1,chr1,160160346,160171676
casq1,CASQ1,chr1,160160346,160171676
pdib2,PDIB2,chr1,116242628,116311402
casq2,CASQ2,chr1,116242628,116311402
fhh,FHH,chr3,121902530,122010476
nshpt,NSHPT,chr3,121902530,122010476
gprc2a,GPRC2A,chr3,121902530,122010476
casr,CASR,chr3,121902530,122010476
hefl,HEFL,chr20,54987168,55035443
hepl,HEPL,chr20,54987168,55035443
cass4,CASS4,chr20,54987168,55035443
cast,CAST,chr5,95860971,96115299
castor1,CASTOR1,chr22,30681106,30685616
castor2,CASTOR2,chr7,74378915,74438902
dkfzp686b07267,DKFZp686B07267,chr7,99798276,99869855
stag3os,STAG3OS,chr7,99798276,99869855
castor3,CASTOR3,chr7,99798276,99869855
flj20321,FLJ20321,chr1,10696661,10856707
znf693,ZNF693,chr1,10696661,10856707
castor,castor,chr1,10696661,10856707
cst,cst,chr1,10696661,10856707
srg,SRG,chr1,10696661,10856707
casz1,CASZ1,chr1,10696661,10856707
cat,CAT,chr11,34460472,34493609
mgc50811,MGC50811,chr2,219221579,219232822
catip,CATIP,chr2,219221579,219232822
catsper,CATSPER,chr11,65784223,65793988
catsper1,CATSPER1,chr11,65784223,65793988
catsper2,CATSPER2,chr15,43920701,43960316
cacrc,CACRC,chr5,134303596,134347397
catsper3,CATSPER3,chr5,134303596,134347397
catsper4,CATSPER4,chr1,26517052,26529459
flj14298,FLJ14298,chr14,92047040,92247051
catsperb,CATSPERB,chr14,92047040,92247051
mgc39581,MGC39581,chr19,5720688,5778745
catsperd,CATSPERD,chr19,5720688,5778745
mgc33370,MGC33370,chr1,244617679,244804479
catspere,CATSPERE,chr1,244617679,244804479
dkfzp434a1022,DKFZp434A1022,chr19,38826415,38861583
flj46353,FLJ46353,chr19,38826415,38861583
catsperg,CATSPERG,chr19,38826415,38861583
dkfzp566e164,DKFZP566E164,chr11,64067863,64072242
catsperz,CATSPERZ,chr11,64067863,64072242
cav1,CAV1,chr7,116164839,116201238
cav,CAV,chr7,115927434,116148595
cav2,CAV2,chr7,115927434,116148595
vip-21,VIP-21,chr3,8775486,8883492
lgmd1c,LGMD1C,chr3,8775486,8883492
vip21,VIP21,chr3,8775486,8883492
lqt9,LQT9,chr3,8775486,8883492
cav3,CAV3,chr3,8775486,8883492
cavin-1,cavin-1,chr17,40554470,40575535
cgl4,CGL4,chr17,40554470,40575535
cavin1,CAVIN1,chr17,40554470,40575535
sdr,SDR,chr2,192699028,192711981
ps-p68,PS-p68,chr2,192699028,192711981
cavin-2,cavin-2,chr2,192699028,192711981
cavin2,CAVIN2,chr2,192699028,192711981
srbc,SRBC,chr11,6340176,6341877
hsrbc,HSRBC,chr11,6340176,6341877
mgc20400,MGC20400,chr11,6340176,6341877
cavin-3,cavin-3,chr11,6340176,6341877
cavin3,CAVIN3,chr11,6340176,6341877
cavin-4,cavin-4,chr9,103340361,103350188
cavin4,CAVIN4,chr9,103340361,103350188
mgc40084,MGC40084,chr19,1228286,1238026
dos,DOS,chr19,1228286,1238026
barp,BARP,chr19,1228286,1238026
cbarp,CBARP,chr19,1228286,1238026
mtgr1,MTGR1,chr20,32077881,32237842
zmynd3,ZMYND3,chr20,32077881,32237842
cbfa2t2,CBFA2T2,chr20,32077881,32237842
mtgr2,MTGR2,chr16,88941266,89043612
zmynd4,ZMYND4,chr16,88941266,89043612
mtg16,MTG16,chr16,88941266,89043612
runx1t3,RUNX1T3,chr16,88941266,89043612
eto2,ETO2,chr16,88941266,89043612
cbfa2t3,CBFA2T3,chr16,88941266,89043612
pebp2b,PEBP2B,chr16,67063019,67134961
cbfb,CBFB,chr16,67063019,67134961
rnf55,RNF55,chr11,119076986,119184636
c-cbl,c-Cbl,chr11,119076986,119184636
cbl,CBL,chr11,119076986,119184636
rnf56,RNF56,chr3,105374305,105588396
cbl-b,Cbl-b,chr3,105374305,105588396
cblb,CBLB,chr3,105374305,105588396
cbl-3,CBL-3,chr19,45281126,45303909
cbl-sl,CBL-SL,chr19,45281126,45303909
rnf57,RNF57,chr19,45281126,45303909
cblc,CBLC,chr19,45281126,45303909
tcn3,TCN3,chr11,59596741,59612974
if,IF,chr11,59596741,59612974
ifmh,IFMH,chr11,59596741,59612974
inf,INF,chr11,59596741,59612974
cblif,CBLIF,chr11,59596741,59612974
hakai,HAKAI,chr7,107384142,107402112
flj23109,FLJ23109,chr7,107384142,107402112
rnf188,RNF188,chr7,107384142,107402112
cbll1,CBLL1,chr7,107384142,107402112
flj25735,FLJ25735,chrX,22291060,22292578
hakail,HAKAIL,chrX,22291060,22292578
ct138,CT138,chrX,22291060,22292578
cbll2,CBLL2,chrX,22291060,22292578
cbln1,CBLN1,chr16,49311828,49315742
cbln2,CBLN2,chr18,70203915,70305756
cbln3,CBLN3,chr14,24895738,24900160
dj885a10.1,dJ885A10.1,chr20,54572496,54580528
cbln4,CBLN4,chr20,54572496,54580528
sdr21c1,SDR21C1,chr21,37442239,37445464
cbr1,CBR1,chr21,37442239,37445464
sdr21c2,SDR21C2,chr21,37507210,37518864
cbr3,CBR3,chr21,37507210,37518864
flj14431,FLJ14431,chr4,169784921,169931426
sdr45c1,SDR45C1,chr4,169784921,169931426
cbr4,CBR4,chr4,169784921,169931426
hip4,HIP4,chr21,44473301,44497053
cbs,CBS,chr21,44473301,44497053
cbsl,CBSL,chr21,44473301,44496472
cbwd1,CBWD1,chr9,121038,179147
cbwd2,CBWD2,chr2,114195268,114253766
ba561o23.1,bA561O23.1,chr9,70846919,70914931
cbwd3,CBWD3,chr9,70846919,70914931
cbwd5,CBWD5,chr9,70432004,70497240
otthumg00000066820,OTTHUMG00000066820,chr9,42668608,42714962
otthumg00000067194,OTTHUMG00000067194,chr9,42668608,42714962
cbwd6,CBWD6,chr9,42668608,42714962
hp1hs-beta,HP1Hs-beta,chr17,46147414,46178883
m31,M31,chr17,46147414,46178883
mod1,MOD1,chr17,46147414,46178883
cbx,CBX,chr17,46147414,46178883
hp1-beta,HP1-BETA,chr17,46147414,46178883
cbx1,CBX1,chr17,46147414,46178883
mgc10561,MGC10561,chr17,77751931,77761782
cbx2,CBX2,chr17,77751931,77761782
hp1hs-gamma,HP1Hs-gamma,chr7,26240782,26252976
cbx3,CBX3,chr7,26240782,26252976
hpc2,hPC2,chr17,77806955,77813228
pc2,PC2,chr17,77806955,77813228
nbp16,NBP16,chr17,77806955,77813228
cbx4,CBX4,chr17,77806955,77813228
hp1hs-alpha,HP1Hs-alpha,chr12,54624724,54673917
hp1,HP1,chr12,54624724,54673917
hp1-alpha,HP1-ALPHA,chr12,54624724,54673917
cbx5,CBX5,chr12,54624724,54673917
cbx6,CBX6,chr22,39257455,39268319
cbx7,CBX7,chr22,39516172,39548679
rc1,RC1,chr17,77765931,77775482
hpc3,HPC3,chr17,77765931,77775482
pc3,PC3,chr17,77765931,77775482
cbx8,CBX8,chr17,77765931,77775482
pigea14,PIGEA14,chr22,39052641,39069859
pigea-14,PIGEA-14,chr22,39052641,39069859
chibby,Chibby,chr22,39052641,39069859
cby,Cby,chr22,39052641,39069859
chibby1,Chibby1,chr22,39052641,39069859
cby1,CBY1,chr22,39052641,39069859
nurit,NURIT,chr13,46276446,46288694
cby2,CBY2,chr13,46276446,46288694
cby3,CBY3,chr5,179105584,179107975
flj20241,FLJ20241,chr19,14017014,14041692
mrt3,MRT3,chr19,14017014,14041692
freud-1,Freud-1,chr19,14017014,14041692
cc2d1a,CC2D1A,chr19,14017014,14041692
kiaa1836,KIAA1836,chr1,52811395,52831865
freud-2,Freud-2,chr1,52811395,52831865
cc2d1b,CC2D1B,chr1,52811395,52831865
kiaa1345,KIAA1345,chr4,15471489,15603180
mks6,MKS6,chr4,15471489,15603180
jbts9,JBTS9,chr4,15471489,15603180
cc2d2a,CC2D2A,chr4,15471489,15603180
ba248j23.4,bA248J23.4,chr10,97667360,97792441
ba690p14.3,bA690P14.3,chr10,97667360,97792441
cc2d2b,CC2D2B,chr10,97667360,97792441
flj10590,FLJ10590,chr10,70480769,70552134
carp-1,CARP-1,chr10,70480769,70552134
carp1,CARP1,chr10,70480769,70552134
ccar1,CCAR1,chr10,70480769,70552134
dbc-1,DBC-1,chr8,22462145,22479027
dbc1,DBC1,chr8,22462145,22479027
net35,NET35,chr8,22462145,22479027
ccar2,CCAR2,chr8,22462145,22479027
flj30681,FLJ30681,chr18,57098171,57364894
kiaa1983,KIAA1983,chr18,57098171,57364894
ccbe1,CCBE1,chr18,57098171,57364894
dkfzp761f241,DKFZp761F241,chr10,12938625,13141652
ccdc3,CCDC3,chr10,12938625,13141652
ptc,PTC,chr10,61548521,61666414
tpc,TPC,chr10,61548521,61666414
h4,H4,chr10,61548521,61666414
ccdc6,CCDC6,chr10,61548521,61666414
flj32762,FLJ32762,chr10,32735068,33171802
flj13031,FLJ13031,chr10,32735068,33171802
biot2,BIOT2,chr10,32735068,33171802
ccdc7,CCDC7,chr10,32735068,33171802
dkfzp564k0322,DKFZp564K0322,chr19,46913586,46916919
3m3,3M3,chr19,46913586,46916919
ppp1r20,PPP1R20,chr19,46913586,46916919
ccdc8,CCDC8,chr19,46913586,46916919
dkfzp586m1019,DKFZP586M1019,chr19,47759237,47776958
ccdc9,CCDC9,chr19,47759237,47776958
flj43339,FLJ43339,chr15,40623653,40633168
ccdc9b,CCDC9B,chr15,40623653,40633168
mgc23918,MGC23918,chr3,46963216,47023500
ccdc12,CCDC12,chr3,46963216,47023500
flj25467,FLJ25467,chr3,42749761,42814745
ccdc13,CCDC13,chr3,42749761,42814745
flj12892,FLJ12892,chr3,123616152,123680255
dkfzp434l1050,DKFZp434L1050,chr3,123616152,123680255
ccdc14,CCDC14,chr3,123616152,123680255
flj13215,FLJ13215,chr11,124824017,124911385
ccdc15,CCDC15,chr11,124824017,124911385
flj33084,FLJ33084,chr1,46085716,46089729
ccdc17,CCDC17,chr1,46085716,46089729
ny-sar-41,NY-SAR-41,chr1,93645476,93744287
ccdc18,CCDC18,chr1,93645476,93744287
jm1,JM1,chrX,49091927,49106987
ccdc22,CCDC22,chrX,49091927,49106987
mgc45441,MGC45441,chr1,44457031,44462200
ccdc24,CCDC24,chr1,44457031,44462200
flj10853,FLJ10853,chr8,27590828,27630170
ccdc25,CCDC25,chr8,27590828,27630170
flj32825,FLJ32825,chr1,3663024,3688209
ccdc27,CCDC27,chr1,3663024,3688209
ccrl1ap,CCRL1AP,chr6,139094646,139114456
dkfzp586d0623,DKFZp586D0623,chr6,139094646,139114456
ccdc28a,CCDC28A,chr6,139094646,139114456
ccdc28a-as1,CCDC28A-AS1,chr6,139046348,139094789
mgc1203,MGC1203,chr1,32665987,32670988
rp4-622l5.5,RP4-622L5.5,chr1,32665987,32670988
ccdc28b,CCDC28B,chr1,32665987,32670988
flj20972,FLJ20972,chr1,42929001,43120335
pfd6l,PFD6L,chr1,42929001,43120335
loc728621,LOC728621,chr1,42929001,43120335
ccdc30,CCDC30,chr1,42929001,43120335
mgc20481,MGC20481,chr15,40820882,40857256
ccdc32,CCDC32,chr15,40820882,40857256
flj32855,FLJ32855,chr15,74495046,74628813
ct61,CT61,chr15,74495046,74628813
ccdc33,CCDC33,chr15,74495046,74628813
ny-ren-41,NY-REN-41,chr11,27352374,27385415
l15,L15,chr11,27352374,27385415
rama3,RAMA3,chr11,27352374,27385415
ccdc34,CCDC34,chr11,27352374,27385415
flj40089,FLJ40089,chr12,96260826,96336752
ccdc38,CCDC38,chr12,96260826,96336752
dkfzp434a128,DKFZp434A128,chr3,180331796,180588721
cild14,CILD14,chr3,180331796,180588721
fap59,FAP59,chr3,180331796,180588721
cfap59,CFAP59,chr3,180331796,180588721
ccdc39,CCDC39,chr3,180331796,180588721
flj20753,FLJ20753,chr17,78010431,78074412
kiaa1640,KIAA1640,chr17,78010431,78074412
flj32021,FLJ32021,chr17,78010431,78074412
cild15,CILD15,chr17,78010431,78074412
fap172,FAP172,chr17,78010431,78074412
cfap172,CFAP172,chr17,78010431,78074412
ccdc40,CCDC40,chr17,78010431,78074412
flj32734,FLJ32734,chr17,8633252,8648537
ccdc42a,CCDC42A,chr17,8633252,8648537
ccdc42,CCDC42,chr17,8633252,8648537
flj31795,FLJ31795,chr17,42750437,42767147
ccdc43,CCDC43,chr17,42750437,42767147
gk001,GK001,chr17,61822610,61853711
ccdc47,CCDC47,chr17,61822610,61853711
ymer,Ymer,chr3,191046866,191116459
ccdc50,CCDC50,chr3,191046866,191116459
flj12436,FLJ12436,chr3,48473574,48481866
ccdc51,CCDC51,chr3,48473574,48481866
nyd-sp17,NYD-SP17,chr3,107096041,107097484
flj25362,FLJ25362,chr3,107096041,107097484
sp17,SP17,chr3,107096041,107097484
ccdc54,CCDC54,chr3,107096041,107097484
flj00130,FLJ00130,chr17,80059336,80170706
flj23754,FLJ23754,chr17,80059336,80170706
ccdc57,CCDC57,chr17,80059336,80170706
flj33273,FLJ33273,chr3,122078438,122102078
ccdc58,CCDC58,chr3,122078438,122102078
hspc128,HSPC128,chr12,82617460,82752584
tap26,TAP26,chr12,82617460,82752584
br22,BR22,chr12,82617460,82752584
ccdc59,CCDC59,chr12,82617460,82752584
mgc39827,MGC39827,chr12,119772517,119978852
ccdc60,CCDC60,chr12,119772517,119978852
ccdc61,CCDC61,chr19,46498719,46524576
tsp-ny,TSP-NY,chr12,123258874,123312075
flj40344,FLJ40344,chr12,123258874,123312075
ct109,CT109,chr12,123258874,123312075
erap75,ERAP75,chr12,123258874,123312075
ccdc62,CCDC62,chr12,123258874,123312075
oda5,ODA5,chr12,111284573,111345339
flj35843,FLJ35843,chr12,111284573,111345339
ccdc63,CCDC63,chr12,111284573,111345339
nyd-sp28,NYD-SP28,chr12,49297893,49325623
flj35732,FLJ35732,chr12,49297893,49325623
fap250,FAP250,chr12,49297893,49325623
cfap250,CFAP250,chr12,49297893,49325623
cild27,CILD27,chr12,49297893,49325623
drc2,DRC2,chr12,49297893,49325623
ccdc65,CCDC65,chr12,49297893,49325623
dkfzp686c0433,DKFZp686C0433,chr3,56591189,56655846
ccdc66,CCDC66,chr3,56591189,56655846
se57-1,SE57-1,chr18,52568740,52626739
ccdc68,CCDC68,chr18,52568740,52626739
flj13705,FLJ13705,chr5,150560613,150603706
dkfzp434c171,DKFZP434C171,chr5,150560613,150603706
ccdc69,CCDC69,chr5,150560613,150603706
dkfzp434k1172,DKFZP434K1172,chr13,52436117,52440368
flj25853,FLJ25853,chr13,52436117,52440368
ccdc70,CCDC70,chr13,52436117,52440368
flj12800,FLJ12800,chr3,49199968,49203754
ccdc71,CCDC71,chr3,49199968,49203754
flj36031,FLJ36031,chr7,106297211,106301442
ccdc71l,CCDC71L,chr7,106297211,106301442
ny-sar-79,NY-SAR-79,chr11,32623792,32816204
ccdc73,CCDC73,chr11,32623792,32816204
flj40345,FLJ40345,chr2,132285248,132291239
ccdc74a,CCDC74A,chr2,132285248,132291239
dkfzp434e2321,DKFZp434E2321,chr2,130896860,130902707
ccdc74b,CCDC74B,chr2,130896860,130902707
mgc13183,MGC13183,chr12,498439,551811
ccdc77,CCDC77,chr12,498439,551811
flj34512,FLJ34512,chr16,772582,776954
ccdc78,CCDC78,chr16,772582,776954
urb,URB,chr3,112315641,112368377
ssg1,SSG1,chr3,112315641,112368377
dro1,DRO1,chr3,112315641,112368377
cl2,CL2,chr3,112315641,112368377
tcons_00006930,TCONS_00006930,chr3,112315641,112368377
ccdc80,CCDC80,chr3,112315641,112368377
flj16339,FLJ16339,chr11,86085778,86134151
flj23514,FLJ23514,chr11,86085778,86134151
ccdc81,CCDC81,chr11,86085778,86134151
flj23518,FLJ23518,chr11,96085933,96123120
ccdc82,CCDC82,chr11,96085933,96123120
mgc34732,MGC34732,chr11,85566144,85631064
flj42119,FLJ42119,chr11,85566144,85631064
ct148,CT148,chr11,85566144,85631064
kp-cot-23,KP-CoT-23,chr11,85566144,85631064
ccdc83,CCDC83,chr11,85566144,85631064
dlnb14,DLNB14,chr11,118868852,118886501
ccdc84,CCDC84,chr11,118868852,118886501
kiaa1912,KIAA1912,chr2,56411258,56613308
ccdc85a,CCDC85A,chr2,56411258,56613308
dipa,DIPA,chr11,65657583,65659106
ccdc85b,CCDC85B,chr11,65657583,65659106
ccdc85c,CCDC85C,chr14,99966517,100070363
mgc2574,MGC2574,chr11,60609544,60618554
ccdc86,CCDC86,chr11,60609544,60618554
flj10786,FLJ10786,chr11,66357647,66360554
ccdc87,CCDC87,chr11,66357647,66360554
flj10392,FLJ10392,chr2,55514978,55647031
ape,APE,chr2,55514978,55647031
giv,GIV,chr2,55514978,55647031
hkrp1,HkRP1,chr2,55514978,55647031
grdn,GRDN,chr2,55514978,55647031
ccdc88a,CCDC88A,chr2,55514978,55647031
flj37970,FLJ37970,chr11,64107695,64125006
brlz,BRLZ,chr11,64107695,64125006
hkrp3,HkRP3,chr11,64107695,64125006
flj00354,FLJ00354,chr11,64107695,64125006
gipie,GIPIE,chr11,64107695,64125006
ccdc88b,CCDC88B,chr11,64107695,64125006
daple,DAPLE,chr14,91737667,91884188
hkrp2,HkRP2,chr14,91737667,91884188
sca40,SCA40,chr14,91737667,91884188
ccdc88c,CCDC88C,chr14,91737667,91884188
flj38159,FLJ38159,chr11,85395909,85397320
ccdc89,CCDC89,chr11,85395909,85397320
mds025,MDS025,chr11,82970139,82997450
mds011,MDS011,chr11,82970139,82997450
ccdc90b,CCDC90B,chr11,82970139,82997450
p56,p56,chr12,28286182,28734444
flj11088,FLJ11088,chr12,28286182,28734444
dkfzp779l1558,DKFZp779L1558,chr12,28286182,28734444
ccdc91,CCDC91,chr12,28286182,28734444
flj22471,FLJ22471,chr12,124403207,124457378
ccdc92,CCDC92,chr12,124403207,124457378
flj10996,FLJ10996,chr2,118673054,118771709
ccdc93,CCDC93,chr2,118673054,118771709
flj90575,FLJ90575,chr4,7042576,7044666
ccdc96,CCDC96,chr4,7042576,7044666
flj40267,FLJ40267,chr19,41816094,41830788
mgc20255,MGC20255,chr19,41816094,41830788
ccdc97,CCDC97,chr19,41816094,41830788
mgc10992,MGC10992,chr16,57546090,57570511
ccdc102a,CCDC102A,chr16,57546090,57570511
flj23594,FLJ23594,chr18,66382446,66722426
hst1731,HsT1731,chr18,66382446,66722426
an,AN,chr18,66382446,66722426
ccdc102b,CCDC102B,chr18,66382446,66722426
flj13094,FLJ13094,chr17,42976510,42982758
flj34211,FLJ34211,chr17,42976510,42982758
pr46b,PR46b,chr17,42976510,42982758
cild17,CILD17,chr17,42976510,42982758
ccdc103,CCDC103,chr17,42976510,42982758
flj40365,FLJ40365,chr19,15121556,15134081
ccdc105,CCDC105,chr19,15121556,15134081
hsu79303,HSU79303,chr19,56152428,56164527
ccdc106,CCDC106,chr19,56152428,56164527
mgc31967,MGC31967,chr9,35658287,35661508
ccdc107,CCDC107,chr9,35658287,35661508
km-hn-1,KM-HN-1,chr4,186366336,186392913
mgc33607,MGC33607,chr4,186366336,186392913
ct52,CT52,chr4,186366336,186392913
ccdc110,CCDC110,chr4,186366336,186392913
mgc39633,MGC39633,chr5,114602885,114632528
ccdc112,CCDC112,chr5,114602885,114632528
hspc065,HSPC065,chr16,58265061,58317740
dkfzp434n1418,DKFZp434N1418,chr16,58265061,58317740
ccdc113,CCDC113,chr16,58265061,58317740
flj32926,FLJ32926,chr19,48799714,48825151
cild20,CILD20,chr19,48799714,48825151
ccdc114,CCDC114,chr19,48799714,48825151
mgc12981,MGC12981,chr2,131095814,131099922
flj30131,FLJ30131,chr2,131095814,131099922
ccp1,ccp1,chr2,131095814,131099922
ccdc115,CCDC115,chr2,131095814,131099922
flj36046,FLJ36046,chr22,21987005,21991616
ccdc116,CCDC116,chr22,21987005,21991616
flj33814,FLJ33814,chr22,29168662,29185289
ccdc117,CCDC117,chr22,29168662,29185289
jm11,JM11,chrX,48911101,48927509
ccdc120,CCDC120,chrX,48911101,48927509
flj43364,FLJ43364,chr2,27848506,27851879
flj13646,FLJ13646,chr2,27848506,27851879
ccdc121,CCDC121,chr2,27848506,27851879
flj31846,FLJ31846,chr13,44398045,44453863
ccdc122,CCDC122,chr13,44398045,44453863
ccdc124,CCDC124,chr19,18043825,18054800
kenae,KENAE,chr5,68576002,68628636
ccdc125,CCDC125,chr5,68576002,68628636
flj23031,FLJ23031,chr7,23636998,23684327
ccdc126,CCDC126,chr7,23636998,23684327
flj25701,FLJ25701,chr5,196986,218330
ccdc127,CCDC127,chr5,196986,218330
mgc10471,MGC10471,chr19,13842574,13874110
ccdc130,CCDC130,chr19,13842574,13874110
flj22349,FLJ22349,chr22,42196683,42222303
ccdc134,CCDC134,chr22,42196683,42222303
kiaa1793,KIAA1793,chr7,128430811,128462186
nag6,NAG6,chr7,128430811,128462186
dkfzp434g156,DKFZP434G156,chr7,128430811,128462186
ccdc136,CCDC136,chr7,128430811,128462186
mgc16597,MGC16597,chr17,79633394,79640934
ccdc137,CCDC137,chr17,79633394,79640934
